,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW
0,187.10202,87.17001343,91.5120087,997.5103
1,186.0,86.30000305,90.6999969,1012.879
2,186.10001,86.0,90.4000015,1019.767
3,186.7,85.0,89.6999969,1041.712
4,186.39999,85.5,90.5,1062.49
5,186.10001,85.69999695,90.4000015,1065.875
6,186.39999,86.19999695,90.8000031,1057.821
7,186.8,85.30000305,90.0,1078.599
8,188.3,85.59999847,90.0,1085.486
9,189.89999,85.19999695,89.9000015,1092.49
10,189.89999,85.09999847,89.8000031,1112.101
11,189.10001,85.0,89.9000015,1103.93
12,188.8,85.0,89.9000015,1110.934
13,188.10001,84.90000153,90.1999969,1110.934
14,187.8,85.30000305,90.0999985,1110.934
15,187.5,85.19999695,90.3000031,1114.319
16,186.8,85.40000153,90.3000031,1106.265
17,186.10001,85.09999847,89.5999985,1118.988
18,186.0,84.80000305,90.0999985,1103.93
19,186.0,84.90000153,89.6999969,1109.766
20,186.0,85.09999847,89.9000015,1125.875
21,186.89999,84.90000153,89.8000031,1120.156
22,186.2,85.19999695,90.0,1120.156
23,186.5,84.69999695,89.6999969,1105.097
24,186.2,84.80000305,89.4000015,1115.486
25,186.10001,85.0,89.5999985,1109.766
26,186.39999,85.0,89.4000015,1121.323
27,186.2,85.0,89.3000031,1127.043
28,186.10001,84.90000153,89.4000015,1097.043
29,186.7,85.30000305,89.9000015,1125.875
30,187.60001,84.80000305,89.8000031,1106.265
31,187.5,85.0,89.6999969,1116.654
32,187.10001,84.90000153,89.5999985,1117.821
33,187.8,85.30000305,89.6999969,1113.152
34,186.7,85.0,89.5,1109.766
35,186.7,85.09999847,89.1999969,1103.93
36,186.0,84.80000305,89.0999985,1117.821
37,186.0,85.0,89.5999985,1101.712
38,187.39999,84.90000153,89.5,1114.319
39,188.10001,85.0,89.8000031,1105.097
40,188.7,84.80000305,89.9000015,1112.101
41,188.0,85.09999847,89.5999985,1113.152
42,188.7,85.19999695,89.8000031,1103.93
43,189.60001,85.19999695,90.0,1107.432
44,189.7,85.19999695,90.0999985,1109.766
45,189.8,85.59999847,90.6999969,1108.599
46,189.89999,85.5,90.6999969,1095.875
47,189.8,85.69999695,90.5,1109.766
48,189.8,85.69999695,91.0,1118.988
49,189.39999,85.90000153,90.8000031,1101.712
50,189.89999,85.90000153,91.0,1113.152
51,188.3,85.80000305,90.8000031,1120.156
52,188.10001,86.0,90.6999969,1108.599
53,186.39999,85.80000305,90.5999985,1110.934
54,186.60001,85.59999847,90.9000015,1118.988
55,187.3,86.09999847,90.9000015,1090.156
56,187.39999,86.40000153,91.0,1097.043
57,187.2,86.19999695,90.9000015,1107.432
58,188.10001,86.09999847,91.1999969,1102.879
59,186.89999,86.0,90.3000031,1098.21
60,187.2,84.80000305,89.5,1100.545
61,186.7,84.30000305,88.8000031,1103.93
62,187.0,85.19999695,90.4000015,1020.934
63,186.60001,85.09999847,90.3000031,1030.156
64,184.60001,85.40000153,90.1999969,1018.599
65,183.3,85.40000153,90.4000015,1023.268
66,183.2,86.09999847,91.0,1037.043
67,184.2,86.0,91.4000015,1033.658
68,185.3,86.69999695,92.0999985,1022.101
69,185.8,86.59999847,92.1999969,1038.21
70,185.8,87.30000305,92.3000031,1038.21
71,186.2,87.19999695,92.5,1030.156
72,186.0,87.19999695,92.5,1039.377
73,186.2,87.19999695,92.1999969,1040.545
74,186.2,87.19999695,92.5999985,1033.658
75,185.5,87.09999847,92.3000031,1027.821
76,185.7,87.0,92.3000031,1028.988
77,186.0,86.90000153,92.0999985,1037.043
78,186.0,86.80000305,92.3000031,1026.654
79,186.0,87.0,92.0,1016.265
80,186.10001,86.59999847,92.0999985,1028.988
81,186.10001,86.69999695,92.3000031,1022.101
82,185.7,86.90000153,92.0,1031.323
83,185.89999,87.0,92.1999969,1027.821
84,185.89999,87.19999695,92.1999969,1028.988
85,186.3,87.09999847,92.4000015,1026.654
86,186.8,87.0,92.4000015,1039.377
87,187.10001,86.90000153,91.5999985,1032.49
88,186.5,86.80000305,92.3000031,1023.268
89,186.5,86.69999695,92.0,1039.377
90,185.3,86.90000153,92.0,1017.432
91,183.2,86.80000305,91.8000031,1022.101
92,183.7,87.0,92.1999969,1025.486
93,184.10001,87.09999847,92.0,1032.49
94,184.10001,87.0,91.5999985,1039.377
95,184.2,87.0,92.1999969,1026.654
96,184.0,87.5,92.9000015,979.3774
97,186.2,87.09999847,92.5,982.8794
98,183.39999,87.40000153,92.3000031,984.0467
99,185.7,87.09999847,92.6999969,990.9338
100,182.10001,86.69999695,91.6999969,978.2101
101,184.60001,86.90000153,92.4000015,987.4319
102,186.0,87.19999695,92.1999969,987.4319
103,182.3,86.69999695,91.9000015,975.9922
104,184.60001,87.30000305,92.5,970.1556
105,186.60001,87.19999695,92.3000031,993.2685
106,182.10001,87.30000305,92.4000015,989.7665
107,183.7,87.69999695,92.8000031,974.8249
108,185.60001,88.0,93.4000015,974.8249
