TOP_HOT_AIR_TEMP,Faulty_TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,Faulty_CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,Faulty_CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,Faulty_FEED_PUMP_FLOW
187.10202,202.10202,87.17001343,62.17001343,91.5120087,71.5120087,997.5103,797.5103
186,201,86.30000305,61.30000305,90.6999969,70.6999969,1012.879,812.879
186.10001,201.10001,86,61,90.4000015,70.4000015,1019.767,819.767
186.7,201.7,85,60,89.6999969,69.6999969,1041.712,841.712
186.39999,201.39999,85.5,60.5,90.5,70.5,1062.49,862.49
186.10001,201.10001,85.69999695,60.69999695,90.4000015,70.4000015,1065.875,865.875
186.39999,201.39999,86.19999695,61.19999695,90.8000031,70.8000031,1057.821,857.821
186.8,201.8,85.30000305,60.30000305,90,70,1078.599,878.599
188.3,203.3,85.59999847,60.59999847,90,70,1085.486,885.486
189.89999,204.89999,85.19999695,60.19999695,89.9000015,69.9000015,1092.49,892.49
189.89999,204.89999,85.09999847,60.09999847,89.8000031,69.8000031,1112.101,912.101
189.10001,204.10001,85,60,89.9000015,69.9000015,1103.93,903.93
188.8,203.8,85,60,89.9000015,69.9000015,1110.934,910.934
188.10001,203.10001,84.90000153,59.90000153,90.1999969,70.1999969,1110.934,910.934
187.8,202.8,85.30000305,60.30000305,90.0999985,70.0999985,1110.934,910.934
187.5,202.5,85.19999695,60.19999695,90.3000031,70.3000031,1114.319,914.319
186.8,201.8,85.40000153,60.40000153,90.3000031,70.3000031,1106.265,906.265
186.10001,201.10001,85.09999847,60.09999847,89.5999985,69.5999985,1118.988,918.988
186,201,84.80000305,59.80000305,90.0999985,70.0999985,1103.93,903.93
186,201,84.90000153,59.90000153,89.6999969,69.6999969,1109.766,909.766
186,201,85.09999847,60.09999847,89.9000015,69.9000015,1125.875,925.875
186.89999,201.89999,84.90000153,59.90000153,89.8000031,69.8000031,1120.156,920.156
186.2,201.2,85.19999695,60.19999695,90,70,1120.156,920.156
186.5,201.5,84.69999695,59.69999695,89.6999969,69.6999969,1105.097,905.097
186.2,201.2,84.80000305,59.80000305,89.4000015,69.4000015,1115.486,915.486
186.10001,201.10001,85,60,89.5999985,69.5999985,1109.766,909.766
186.39999,201.39999,85,60,89.4000015,69.4000015,1121.323,921.323
186.2,201.2,85,60,89.3000031,69.3000031,1127.043,927.043
186.10001,201.10001,84.90000153,59.90000153,89.4000015,69.4000015,1097.043,897.043
186.7,201.7,85.30000305,60.30000305,89.9000015,69.9000015,1125.875,925.875
187.60001,202.60001,84.80000305,59.80000305,89.8000031,69.8000031,1106.265,906.265
187.5,202.5,85,60,89.6999969,69.6999969,1116.654,916.654
187.10001,202.10001,84.90000153,59.90000153,89.5999985,69.5999985,1117.821,917.821
187.8,202.8,85.30000305,60.30000305,89.6999969,69.6999969,1113.152,913.152
186.7,201.7,85,60,89.5,69.5,1109.766,909.766
186.7,201.7,85.09999847,60.09999847,89.1999969,69.1999969,1103.93,903.93
186,201,84.80000305,59.80000305,89.0999985,69.0999985,1117.821,917.821
186,201,85,60,89.5999985,69.5999985,1101.712,901.712
187.39999,202.39999,84.90000153,59.90000153,89.5,69.5,1114.319,914.319
188.10001,203.10001,85,60,89.8000031,69.8000031,1105.097,905.097
188.7,203.7,84.80000305,59.80000305,89.9000015,69.9000015,1112.101,912.101
188,203,85.09999847,60.09999847,89.5999985,69.5999985,1113.152,913.152
188.7,203.7,85.19999695,60.19999695,89.8000031,69.8000031,1103.93,903.93
189.60001,204.60001,85.19999695,60.19999695,90,70,1107.432,907.432
189.7,204.7,85.19999695,60.19999695,90.0999985,70.0999985,1109.766,909.766
189.8,204.8,85.59999847,60.59999847,90.6999969,70.6999969,1108.599,908.599
189.89999,204.89999,85.5,60.5,90.6999969,70.6999969,1095.875,895.875
189.8,204.8,85.69999695,60.69999695,90.5,70.5,1109.766,909.766
189.8,204.8,85.69999695,60.69999695,91,71,1118.988,918.988
189.39999,204.39999,85.90000153,60.90000153,90.8000031,70.8000031,1101.712,901.712
189.89999,204.89999,85.90000153,60.90000153,91,71,1113.152,913.152
188.3,203.3,85.80000305,60.80000305,90.8000031,70.8000031,1120.156,920.156
188.10001,203.10001,86,61,90.6999969,70.6999969,1108.599,908.599
186.39999,201.39999,85.80000305,60.80000305,90.5999985,70.5999985,1110.934,910.934
186.60001,201.60001,85.59999847,60.59999847,90.9000015,70.9000015,1118.988,918.988
187.3,202.3,86.09999847,61.09999847,90.9000015,70.9000015,1090.156,890.156
187.39999,202.39999,86.40000153,61.40000153,91,71,1097.043,897.043
187.2,202.2,86.19999695,61.19999695,90.9000015,70.9000015,1107.432,907.432
188.10001,203.10001,86.09999847,61.09999847,91.1999969,71.1999969,1102.879,902.879
186.89999,201.89999,86,61,90.3000031,70.3000031,1098.21,898.21
187.2,202.2,84.80000305,59.80000305,89.5,69.5,1100.545,900.545
186.7,201.7,84.30000305,59.30000305,88.8000031,68.8000031,1103.93,903.93
187,202,85.19999695,60.19999695,90.4000015,70.4000015,1020.934,820.934
186.60001,201.60001,85.09999847,60.09999847,90.3000031,70.3000031,1030.156,830.156
184.60001,199.60001,85.40000153,60.40000153,90.1999969,70.1999969,1018.599,818.599
183.3,198.3,85.40000153,60.40000153,90.4000015,70.4000015,1023.268,823.268
183.2,198.2,86.09999847,61.09999847,91,71,1037.043,837.043
184.2,199.2,86,61,91.4000015,71.4000015,1033.658,833.658
185.3,200.3,86.69999695,61.69999695,92.0999985,72.0999985,1022.101,822.101
185.8,200.8,86.59999847,61.59999847,92.1999969,72.1999969,1038.21,838.21
185.8,200.8,87.30000305,62.30000305,92.3000031,72.3000031,1038.21,838.21
186.2,201.2,87.19999695,62.19999695,92.5,72.5,1030.156,830.156
186,201,87.19999695,62.19999695,92.5,72.5,1039.377,839.377
186.2,201.2,87.19999695,62.19999695,92.1999969,72.1999969,1040.545,840.545
186.2,201.2,87.19999695,62.19999695,92.5999985,72.5999985,1033.658,833.658
185.5,200.5,87.09999847,62.09999847,92.3000031,72.3000031,1027.821,827.821
185.7,200.7,87,62,92.3000031,72.3000031,1028.988,828.988
186,201,86.90000153,61.90000153,92.0999985,72.0999985,1037.043,837.043
186,201,86.80000305,61.80000305,92.3000031,72.3000031,1026.654,826.654
186,201,87,62,92,72,1016.265,816.265
186.10001,201.10001,86.59999847,61.59999847,92.0999985,72.0999985,1028.988,828.988
186.10001,201.10001,86.69999695,61.69999695,92.3000031,72.3000031,1022.101,822.101
185.7,200.7,86.90000153,61.90000153,92,72,1031.323,831.323
185.89999,200.89999,87,62,92.1999969,72.1999969,1027.821,827.821
185.89999,200.89999,87.19999695,62.19999695,92.1999969,72.1999969,1028.988,828.988
186.3,201.3,87.09999847,62.09999847,92.4000015,72.4000015,1026.654,826.654
186.8,201.8,87,62,92.4000015,72.4000015,1039.377,839.377
187.10001,202.10001,86.90000153,61.90000153,91.5999985,71.5999985,1032.49,832.49
186.5,201.5,86.80000305,61.80000305,92.3000031,72.3000031,1023.268,823.268
186.5,201.5,86.69999695,61.69999695,92,72,1039.377,839.377
185.3,200.3,86.90000153,61.90000153,92,72,1017.432,817.432
183.2,198.2,86.80000305,61.80000305,91.8000031,71.8000031,1022.101,822.101
183.7,198.7,87,62,92.1999969,72.1999969,1025.486,825.486
184.10001,199.10001,87.09999847,62.09999847,92,72,1032.49,832.49
184.10001,199.10001,87,62,91.5999985,71.5999985,1039.377,839.377
184.2,199.2,87,62,92.1999969,72.1999969,1026.654,826.654
184,199,87.5,62.5,92.9000015,72.9000015,979.3774,779.3774
186.2,201.2,87.09999847,62.09999847,92.5,72.5,982.8794,782.8794
183.39999,198.39999,87.40000153,62.40000153,92.3000031,72.3000031,984.0467,784.0467
185.7,200.7,87.09999847,62.09999847,92.6999969,72.6999969,990.9338,790.9338
182.10001,197.10001,86.69999695,61.69999695,91.6999969,71.6999969,978.2101,778.2101
184.60001,199.60001,86.90000153,61.90000153,92.4000015,72.4000015,987.4319,787.4319
186,201,87.19999695,62.19999695,92.1999969,72.1999969,987.4319,787.4319
182.3,197.3,86.69999695,61.69999695,91.9000015,71.9000015,975.9922,775.9922
184.60001,199.60001,87.30000305,62.30000305,92.5,72.5,970.1556,770.1556
186.60001,201.60001,87.19999695,62.19999695,92.3000031,72.3000031,993.2685,793.2685
182.10001,197.10001,87.30000305,62.30000305,92.4000015,72.4000015,989.7665,789.7665
183.7,198.7,87.69999695,62.69999695,92.8000031,72.8000031,974.8249,774.8249
185.60001,200.60001,88,63,93.4000015,73.4000015,974.8249,774.8249
185.60001,200.60001,87.59999847,62.59999847,92.5999985,72.5999985,980.5447,780.5447
183.5,198.5,87.59999847,62.59999847,92.5,72.5,985.214,785.214
182.2,197.2,87.90000153,62.90000153,92.9000015,72.9000015,972.4903,772.4903
183.60001,198.60001,87.90000153,62.90000153,93,73,978.2101,778.2101
184.2,199.2,87.80000305,62.80000305,93.3000031,73.3000031,952.8794,752.8794
185.2,200.2,85.542239,60.542239,90.452079,70.452079,1005.48,805.48
184.7,199.7,85.542239,60.542239,90.452079,70.452079,1005.48,805.48
185.2,200.2,85.542239,60.542239,90.452079,70.452079,1005.48,805.48
185.5,200.5,85.542239,60.542239,90.452079,70.452079,1005.48,805.48
184.39999,199.39999,85.542239,60.542239,90.452079,70.452079,1005.48,805.48
183.10001,198.10001,85.542239,60.542239,90.452079,70.452079,997.821,797.821
184.8,199.8,89,64,93.1999969,73.1999969,1028.988,828.988
185.60001,200.60001,87.90000153,62.90000153,92.6999969,72.6999969,1030.156,830.156
185.39999,200.39999,87.40000153,62.40000153,92.1999969,72.1999969,1023.268,823.268
185.7,200.7,86.69999695,61.69999695,91.9000015,71.9000015,1022.101,822.101
185.60001,200.60001,86.30000305,61.30000305,91.4000015,71.4000015,1028.988,828.988
185.89999,200.89999,86.09999847,61.09999847,91.1999969,71.1999969,1030.156,830.156
185.5,200.5,85.90000153,60.90000153,91.1999969,71.1999969,1039.377,839.377
185.7,200.7,85.80000305,60.80000305,91.1999969,71.1999969,1042.879,842.879
185.8,200.8,86.09999847,61.09999847,90.9000015,70.9000015,1025.486,825.486
185.3,200.3,85.69999695,60.69999695,91.0999985,71.0999985,1035.875,835.875
185.10001,200.10001,86.09999847,61.09999847,91.1999969,71.1999969,1035.875,835.875
185.8,200.8,85.69999695,60.69999695,91.1999969,71.1999969,1026.654,826.654
185.60001,200.60001,85.80000305,60.80000305,90.8000031,70.8000031,1035.875,835.875
185,200,85.59999847,60.59999847,90.9000015,70.9000015,1031.323,831.323
184.7,199.7,85.80000305,60.80000305,91.0999985,71.0999985,1030.156,830.156
185,200,85.80000305,60.80000305,91.3000031,71.3000031,1023.268,823.268
186.2,201.2,85.59999847,60.59999847,90.5999985,70.5999985,1026.654,826.654
183.5,198.5,85.69999695,60.69999695,90.5,70.5,1045.097,845.097
182.8,197.8,85.59999847,60.59999847,90.5,70.5,1031.323,831.323
182.89999,197.89999,85.59999847,60.59999847,90.5999985,70.5999985,1027.821,827.821
182.2,197.2,85.59999847,60.59999847,90.1999969,70.1999969,1037.043,837.043
181.60001,196.60001,85.30000305,60.30000305,89.9000015,69.9000015,1026.654,826.654
184,199,85.40000153,60.40000153,90.5999985,70.5999985,1028.988,828.988
185.7,200.7,85.30000305,60.30000305,90.0999985,70.0999985,1028.988,828.988
185.60001,200.60001,85.40000153,60.40000153,90.3000031,70.3000031,1030.156,830.156
183.8,198.8,85.59999847,60.59999847,90.1999969,70.1999969,1030.156,830.156
182.2,197.2,85.30000305,60.30000305,89.9000015,69.9000015,1027.821,827.821
182.2,197.2,85.5,60.5,90.5,70.5,1034.825,834.825
183.7,198.7,85.59999847,60.59999847,90.5,70.5,1026.654,826.654
183.89999,198.89999,85.59999847,60.59999847,90.4000015,70.4000015,1037.043,837.043
184.89999,199.89999,85.40000153,60.40000153,90.5999985,70.5999985,1024.436,824.436
185.3,200.3,85.40000153,60.40000153,90.9000015,70.9000015,1031.323,831.323
