CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,CHAMBER_TEMP,CHAMBER_VACCUM,CONCT1TEMP,CONCT2TEMP,COOLING_TEMP,CYCLON_VACCUM,FBD_COOLING_TEMP,FBD_HOT_AIR_TEMP,FBD_VACCUM,FEED_PUMP_DENSITY,FEED_PUMP_FLOW,HIGH_PRESSURE_PUMP,INLET_CHILDWTR_TEMP,PRE_HEATING_TEMP,RECYCLE_PRESSURE,RECYCLE_TEMP,TOP_HOT_AIR_TEMP,SUPPY_FAN_SPEED,EXHAUST_FANSPEED,MOISTURE_CONTENT 
87.17001343,91.5120087,185.3580017,-11.0911,27.2679958,48.2420006,58.432003,190.816147,18.522007,91.6999969,-9.9291611,1.1794,997.5103,140.7444305,2.516002,54.174004,0.44074827,51.2259979,187.10202,1119,1206,3.41
86.30000305,90.6999969,185.3000031,-11.0911,27.5,48.2999992,58.2000008,186.874191,18,91.6999969,-11.712067,1.1794,1012.879,143.9040222,2.4,54,0.42300001,51.4000015,186,1136,1210,3.45
86,90.4000015,185.5,-11.0911,28,48.4000015,58.7999992,189.94812,18.1000004,92.5999985,-5.6939087,1.177616954,1019.767,149.3514862,2.4,53.900002,0.42699999,51.5999985,186.10001,1164,1147,3.06
85,89.6999969,185.8999939,-11.0911,28.2999992,48.4000015,58.7999992,186.485077,17.7000008,91.6999969,-6.459137,1.17854023,1041.712,154.1504517,2.4,52.799999,0.4181,51.2000008,186.7,1156,1196,3.46
85.5,90.5,185.6999969,-11.0911,28.7999992,48.5999985,57.9000015,202.76265,17.5,92.4000015,-9.2866364,1.17999804,1062.49,154.4747009,2.4,51.299999,0.4339,51.9000015,186.39999,1142,1197,3.32
85.69999695,90.4000015,185.6000061,-11.0911,29.1000004,48.4000015,58.0999985,203.022049,17.8999996,92.0999985,-13.125809,1.180969954,1065.875,151.5888519,3,52.200001,0.42989999,51.9000015,186.10001,1163,1207,3.05
86.19999695,90.8000031,185.6999969,-11.0911,29.5,48.5,58.5,186.978,18,91.6999969,-8.7678375,1.181893349,1057.821,152.5291901,3.1,52.900002,0.43090001,51.7999992,186.39999,1113,1177,3.14
85.30000305,90,185.3999939,-11.0911,27.7999992,48.5,59,205.719849,18.2000008,92.0999985,-8.8975372,1.182379246,1078.599,157.9766541,3.3,53.5,0.45460001,51.7999992,186.8,1165,1177,3.27
85.59999847,90,186.3000031,-11.0911,28,48.5999985,59.5,197.003891,18.3999996,92.5,-8.2619934,1.182865262,1085.486,157.9766541,3.5,53.099998,0.44569999,51.9000015,188.3,1143,1186,3.48
85.19999695,89.9000015,187.1999969,-11.0911,28.5,48.5999985,59.7000008,196.485077,18.1000004,91.5999985,-6.0830078,1.183351159,1092.49,162.4837799,3.2,52.599998,0.4339,51.9000015,189.89999,1155,1243,3.48
85.09999847,89.8000031,187.6999969,-12.58755493,28.8999996,48.7000008,58.7000008,196.614792,18.1000004,92.5,-9.2866364,1.183837175,1112.101,165.6939087,3.2,51.5,0.4289,52,189.89999,1145,1243,3.08
85,89.9000015,187.6000061,-11.18029022,29.2000008,48.5999985,58.7000008,197.38002,18,91.9000015,-6.7185516,1.184809089,1103.93,165.6939087,3.5,51.599998,0.43189999,52,189.10001,1116,1145,3.49
85,89.9000015,187.1999969,-12.90531921,29.6000004,48.7999992,58.2000008,201.867706,18,91.9000015,-5.8236084,1.185294867,1110.934,164.3968811,3.3,50.599998,0.4418,51.9000015,188.8,1114,1146,3.48
84.90000153,90.1999969,187,-12.20493317,29.8999996,48.5,57.9000015,206.355377,18.2999992,92.0999985,-6.0830078,1.185781002,1110.934,162.8080444,3.3,50.400002,0.43489999,52,188.10001,1117,1221,3.24
85.30000305,90.0999985,186.8000031,-11.94552612,30.1000004,48.7000008,58.2000008,203.151749,18.2999992,92.0999985,-7.7431946,1.186218262,1110.934,162.4837799,3.2,51.5,0.43979999,52.0999985,187.8,1133,1228,3.40
