,TOP_HOT_AIR_TEMP,CHAMBER_EXT_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,target
5536,183.8,84.80000305,89.5999985,1008.21,0
3551,184.8,85.5,89.8000031,1030.156,0
7032,188.2,85.40000153,90.5,1050.934,0
5333,199.7,84.5,89.5,1082.101,1
5163,189.3,83.69999695,88.3000031,892.49,4
1951,184.7,85.40000153,71.0,1015.214,3
2118,186.39999,83.59999847,88.6999969,1110.934,0
456,181.39999,85.69999695,70.1999969,1004.825,3
4735,181.7,83.40000153,88.4000015,971.3229,0
8067,185.60001,86.09999847,91.0999985,990.9338,0
3728,185.0,84.90000153,89.6999969,1058.988,0
1916,183.2,84.59999847,89.4000015,989.7665,0
2796,198.60001,84.5,89.4000015,1024.436,1
534,187.3,89.09999847,73.0999985,1070.545,3
6707,188.89999,87.90000153,93.1999969,980.5447,0
1439,182.89999,87.5,92.1999969,828.988,4
1799,184.10001,85.542239,90.452079,1005.48,0
7938,186.2,84.59999847,89.5,1072.879,0
841,183.60001,85.5,90.4000015,985.214,0
864,185.5,86.5,91.9000015,778.2101,4
3702,186.8,58.69999695,88.5999985,1080.934,2
11404,185.39999,85.80000305,90.1999969,1056.654,0
3531,181.60001,58.19999695,88.1999969,1012.879,2
4760,198.0,83.80000305,89.0,1000.156,1
1801,186.10001,85.542239,90.452079,1005.48,0
5507,198.39999,85.09999847,89.8000031,996.6537,1
4470,201.10001,83.09999847,87.9000015,1084.319,1
7827,187.3,85.09999847,90.0999985,1024.436,0
1427,181.7,87.30000305,72.3000031,979.3774,3
5572,184.0,84.90000153,90.0999985,992.1011,0
25,186.10001,85.0,89.5999985,1109.766,0
1930,183.10001,85.19999695,90.0999985,972.4903,0
10290,189.8,87.09999847,92.0999985,1072.879,0
1372,186.60001,84.59999847,89.5999985,1094.708,0
2584,188.0,85.542239,70.452079,1005.48,3
10370,185.5,87.09999847,91.9000015,982.8794,0
4937,183.2,85.542239,90.452079,1005.48,0
1303,185.39999,84.19999695,88.5999985,1098.21,0
3204,185.60001,83.5,88.3000031,1098.21,0
3001,198.2,84.5,89.1999969,1010.545,1
7399,184.3,84.90000153,89.9000015,984.0467,0
4205,186.2,83.09999847,88.0,1110.934,0
8660,184.8,86.40000153,90.9000015,1030.156,0
8066,185.2,86.09999847,91.1999969,982.8794,0
6638,185.0,82.69999695,87.0999985,1076.265,0
1982,183.60001,85.542239,70.452079,970.1556,3
286,185.8,88.40000153,93.4000015,1007.043,0
3231,203.10001,84.80000305,90.1999969,1094.708,1
5293,183.8,87.0,92.1999969,963.2685,0
10522,184.60001,84.0,88.6999969,1017.432,0
5322,185.0,83.40000153,68.5999985,1038.21,3
10196,185.10001,86.19999695,91.1999969,1000.156,0
8,203.3,85.59999847,90.0,1085.486,1
7311,184.8,84.80000305,89.5,1022.101,0
707,182.39999,86.80000305,91.5,785.214,4
3250,184.89999,56.90000153,87.0,1000.156,2
4858,184.5,59.30000305,89.0999985,1028.988,2
1584,184.3,84.69999695,69.4000015,1080.934,3
4632,185.89999,84.40000153,89.5,802.49,4
6591,182.8,84.69999695,89.0,1010.545,0
2183,183.3,85.542239,94.8000031,958.5992,0
6289,181.2,81.90000153,86.5999985,1086.654,0
5454,183.8,84.80000305,69.8000031,998.9883,3
4810,201.2,82.69999695,87.9000015,1037.043,1
9700,185.5,81.90000153,86.6999969,1034.825,0
354,183.3,86.30000305,91.0999985,1055.486,0
9174,187.0,88.30000305,93.5,1078.599,0
7636,186.0,84.40000153,88.9000015,1042.879,0
8498,183.39999,86.09999847,90.9000015,988.5992,0
886,199.5,85.80000305,90.8000031,1002.49,1
2301,183.89999,83.0,87.9000015,1011.712,0
8784,183.8,86.90000153,92.0999985,994.4358,0
8884,185.5,87.30000305,92.5,973.6576,0
1752,181.60001,59.59999847,89.8000031,987.4319,2
909,182.8,85.5,90.4000015,781.712,4
824,188.3,85.59999847,90.6999969,916.654,4
2147,183.89999,86.0,91.4000015,1010.545,0
1884,196.39999,85.0,89.5999985,982.8794,1
9526,185.7,86.59999847,91.6999969,1004.825,0
5865,187.2,58.40000153,88.1999969,1129.377,2
3538,182.10001,83.30000305,88.0,993.2685,0
137,198.5,85.69999695,90.5,1045.097,1
2114,185.39999,84.0,88.6999969,905.097,4
4005,183.2,57.90000153,87.8000031,990.9338,2
4233,203.0,83.19999695,88.4000015,1120.156,1
4642,185.0,82.40000153,86.8000031,800.156,4
5376,203.7,84.59999847,89.6999969,1087.821,1
5969,182.8,86.80000305,91.8000031,1005.875,0
157,184.3,59.90000153,90.0999985,1022.101,2
8215,184.60001,83.40000153,87.9000015,1015.214,0
5524,183.0,84.90000153,89.4000015,1002.49,0
10777,185.39999,85.80000305,90.0999985,997.821,0
2999,182.39999,84.30000305,89.0,1003.658,0
1427,196.7,87.30000305,92.3000031,979.3774,1
5493,182.3,84.09999847,68.8000031,1001.323,3
7000,187.5,84.59999847,89.5999985,1056.654,0
