,TOP_HOT_AIR_TEMP,CHAMBER_OUTLET_TEMP,FEED_PUMP_FLOW,CHAMBER_EXT_TEMP
259,199.5,67.4000015,805.48,58.69999695
2117,186.89999,89.0999985,1112.101,84.0
9633,186.39999,91.0999985,1098.21,86.59999847
107,183.7,92.8000031,974.8249,87.69999695
11608,184.10001,89.0999985,1007.043,84.19999695
401,200.60001,70.5999985,809.377,60.59999847
275,201.0,72.3000031,816.265,62.19999695
5725,182.5,88.0999985,1027.821,83.40000153
5099,201.39999,67.9000015,903.93,58.5
7810,187.0,89.9000015,1031.323,85.0
11685,186.10001,92.0999985,1019.767,87.5
5418,201.5,67.3000031,884.319,58.0
1429,199.8,72.4000015,792.1011,62.0
8392,182.3,89.3000031,1007.043,84.19999695
4727,198.3,69.3000031,797.821,58.90000153
475,199.60001,70.5,805.875,60.19999695
6972,188.0,87.6999969,1088.988,83.19999695
3606,197.39999,69.1999969,804.825,59.80000305
5047,198.0,70.6999969,786.3813,60.09999847
350,182.60001,91.1999969,1049.766,86.19999695
2999,182.39999,89.0,1003.658,84.30000305
670,184.60001,91.6999969,965.6031,86.40000153
130,200.10001,71.1999969,835.875,61.09999847
1261,200.60001,70.0,822.101,60.5
5378,185.3,87.8000031,1102.879,83.5
8164,186.2,86.5999985,1014.047,82.09999847
11232,185.60001,91.8000031,995.6031,87.40000153
66,198.2,71.0,837.043,61.09999847
427,198.3,71.0,801.323,60.90000153
10837,184.10001,90.1999969,1012.879,85.80000305
67,184.2,91.4000015,1033.658,86.0
11670,186.3,91.8000031,1026.654,86.80000305
2308,201.0,71.3000031,773.6576,61.69999695
4795,186.5,88.6999969,1044.047,83.90000153
1778,199.2,68.5999985,853.268,58.59999847
5259,183.3,92.0999985,957.4319,86.69999695
1778,184.2,88.5999985,1053.268,83.59999847
5071,199.89999,70.452079,805.48,60.542239
8939,183.2,92.0,978.2101,86.80000305
10680,185.0,89.9000015,1078.599,85.59999847
7181,186.10001,88.9000015,1000.156,84.19999695
9947,185.2,92.0,986.3813,87.09999847
2198,196.10001,69.9000015,805.875,60.09999847
511,199.7,68.5999985,890.156,58.59999847
5758,198.5,70.5,788.5992,60.40000153
11750,186.10001,90.4000015,1018.599,86.0
1090,187.2,90.0,1088.988,85.19999695
3756,185.10001,88.8000031,1034.825,83.80000305
10753,185.7,90.6999969,986.3813,86.30000305
5946,198.0,71.9000015,804.825,62.09999847
5086,186.10001,88.6999969,1102.879,84.40000153
991,184.3,88.8000031,1052.101,84.30000305
8793,184.7,92.6999969,995.6031,87.69999695
4547,184.0,87.8000031,1008.21,82.69999695
5071,184.89999,90.452079,1005.48,85.542239
11093,185.7,92.1999969,990.9338,87.30000305
5458,197.8,69.3000031,814.047,59.69999695
3983,184.2,88.6999969,985.214,84.5
5596,201.5,67.3000031,898.21,57.80000305
6696,186.60001,92.0999985,970.1556,87.09999847
11129,186.5,90.9000015,1008.21,86.19999695
5494,184.7,89.0999985,1004.825,84.30000305
5986,183.8,90.5,980.5447,85.59999847
2541,199.60001,69.1999969,849.766,59.5
10735,186.10001,91.6999969,980.5447,87.0
3172,188.10001,88.3000031,1095.875,83.19999695
7645,184.89999,89.5,1030.156,84.80000305
5112,185.8,88.3000031,1087.821,83.80000305
2109,201.7,69.0999985,910.934,59.09999847
2599,184.89999,89.5999985,1103.93,84.59999847
6608,182.60001,87.4000015,1008.21,82.90000153
4585,199.89999,67.1999969,768.9883,57.5
4335,199.2,70.6999969,772.4903,60.90000153
